condition,level,riskiness,risk_averseness,completion,n_matched_ev_decisions,file
Vanilla + context,0.6,0.9,0.09999999999999998,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p60.pkl
Vanilla + context,0.7,0.89,0.10999999999999999,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p70.pkl
Vanilla + context,0.8,0.905,0.09499999999999997,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p80.pkl
Vanilla + context,0.9,0.945,0.05500000000000005,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p90.pkl
Vanilla + fake VTA,-0.9,0.185,0.815,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p900.pkl
Vanilla + fake VTA,-0.8,0.215,0.785,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p800.pkl
Vanilla + fake VTA,-0.7,0.2,0.8,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p700.pkl
Vanilla + fake VTA,-0.6,0.225,0.775,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p600.pkl
Vanilla + fake VTA,-0.5,0.245,0.755,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p500.pkl
Vanilla + fake VTA,-0.4,0.285,0.7150000000000001,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p400.pkl
Vanilla + fake VTA,-0.3,0.285,0.7150000000000001,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p300.pkl
Vanilla + fake VTA,-0.2,0.34,0.6599999999999999,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p200.pkl
Vanilla + fake VTA,-0.1,0.455,0.5449999999999999,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optoneg0p100.pkl
Vanilla + fake VTA,0.0,0.535,0.46499999999999997,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p000.pkl
Vanilla + fake VTA,0.1,0.725,0.275,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p100.pkl
Vanilla + fake VTA,0.2,0.755,0.245,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p200.pkl
Vanilla + fake VTA,0.3,0.79,0.20999999999999996,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p300.pkl
Vanilla + fake VTA,0.4,0.85,0.15000000000000002,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p400.pkl
Vanilla + fake VTA,0.5,0.89,0.10999999999999999,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p500.pkl
Vanilla + fake VTA,0.6,0.9,0.09999999999999998,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p600.pkl
Vanilla + fake VTA,0.7,0.9,0.09999999999999998,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p700.pkl
Vanilla + fake VTA,0.8,0.898989898989899,0.101010101010101,0.9925,198,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p800.pkl
Vanilla + fake VTA,0.9,0.9119170984455959,0.08808290155440412,0.9833333333333333,193,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_fake_vta/trials/gambling_d1d2_plasticity_pos_reg_opal04_fake_vta/trials_activity_optopos0p900.pkl
Natural RPE + fake VTA,-0.9,0.23626373626373626,0.7637362637362637,0.8675,182,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p900.pkl
Natural RPE + fake VTA,-0.8,0.25,0.75,0.8908333333333334,192,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p800.pkl
Natural RPE + fake VTA,-0.7,0.2553191489361702,0.7446808510638299,0.915,188,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p700.pkl
Natural RPE + fake VTA,-0.6,0.22395833333333334,0.7760416666666666,0.9375,192,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p600.pkl
Natural RPE + fake VTA,-0.5,0.28061224489795916,0.7193877551020409,0.9566666666666667,196,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p500.pkl
Natural RPE + fake VTA,-0.4,0.3005181347150259,0.6994818652849741,0.9583333333333334,193,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p400.pkl
Natural RPE + fake VTA,-0.3,0.3787878787878788,0.6212121212121212,0.9683333333333334,198,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p300.pkl
Natural RPE + fake VTA,-0.2,0.395,0.605,0.9841666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p200.pkl
Natural RPE + fake VTA,-0.1,0.4723618090452261,0.5276381909547738,0.9808333333333333,199,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optoneg0p100.pkl
Natural RPE + fake VTA,0.0,0.6,0.4,0.9925,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p000.pkl
Natural RPE + fake VTA,0.1,0.7236180904522613,0.27638190954773867,0.9875,199,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p100.pkl
Natural RPE + fake VTA,0.2,0.8341708542713567,0.16582914572864327,0.9891666666666666,199,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p200.pkl
Natural RPE + fake VTA,0.3,0.8636363636363636,0.13636363636363635,0.985,198,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p300.pkl
Natural RPE + fake VTA,0.4,0.8877551020408163,0.11224489795918369,0.9816666666666667,196,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p400.pkl
Natural RPE + fake VTA,0.5,0.9090909090909091,0.09090909090909094,0.985,198,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p500.pkl
Natural RPE + fake VTA,0.6,0.8615384615384616,0.1384615384615384,0.9733333333333334,195,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p600.pkl
Natural RPE + fake VTA,0.7,0.9057591623036649,0.09424083769633507,0.9708333333333333,191,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p700.pkl
Natural RPE + fake VTA,0.8,0.8826530612244898,0.11734693877551017,0.9641666666666666,196,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p800.pkl
Natural RPE + fake VTA,0.9,0.90625,0.09375,0.9608333333333333,192,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04_rpe_natural/trials/gambling_d1d2_plasticity_pos_reg_opal04_rpe_natural/trials_activity_optopos0p900.pkl
